,horodate,real_consumption,forecasted_consumption,CAC,AEX,BFX,STOXX,Airliquide,gasNat
0,2021-01-01,54361.0,56743.0,5573.200195,625.190002,3641.530029,3580.909912,122.727272,2.433
1,2021-01-02,58073.0,50000.0,5573.200195,625.190002,3641.530029,3580.909912,122.727272,2.433
2,2021-01-03,59764.0,50000.0,5573.200195,625.190002,3641.530029,3580.909912,122.727272,2.433
3,2021-01-04,60396.0,49398.0,5614.040039,632.02002,3671.080078,3565.679932,123.590912,2.626
4,2021-01-05,47952.13,55859.0,5561.600098,629.940002,3645.76001,3554.23999,123.13636,2.599
5,2021-01-06,47625.12,55053.0,5601.009766,636.570007,3677.100098,3559.810059,123.409088,2.688
6,2021-01-07,59938.0,52365.0,5651.040039,641.280029,3736.98999,3621.159912,123.909088,2.722
7,2021-01-08,57918.0,51559.0,5711.580078,643.039978,3762.120117,3632.139893,124.5,2.675
8,2021-01-09,53498.0,50472.0,5711.580078,643.039978,3762.120117,3632.139893,124.5,2.675
9,2021-01-10,52358.67,54082.0,5711.580078,643.039978,3762.120117,3632.139893,124.5,2.675
10,2021-01-11,52142.93,54082.0,5684.660156,645.159973,3749.560059,3636.669922,124.227272,2.6
11,2021-01-12,51976.11,54082.0,5672.200195,645.950012,3724.139893,3622.370117,124.363632,2.794
12,2021-01-13,50281.83,54082.0,5648.959961,644.23999,3719.620117,3615.02002,121.909088,2.737
13,2021-01-14,50883.37,54082.0,5662.169922,650.369995,3729.77002,3619.300049,122.545456,2.742
14,2021-01-15,50231.21,54082.0,5648.700195,654.390015,3728.379883,3633.409912,121.5,2.672
15,2021-01-16,50959.48,54082.0,5648.700195,654.390015,3728.379883,3633.409912,121.5,2.672
16,2021-01-17,49285.04,54082.0,5648.700195,654.390015,3728.379883,3633.409912,121.5,2.672
17,2021-01-18,47602.46,54082.0,5584.850098,648.849976,3703.419922,3591.22998,119.954544,2.672
18,2021-01-19,48204.97,54082.0,5647.75,654.549988,3760.080078,3618.030029,121.454544,2.652
19,2021-01-20,48418.73,54082.0,5615.410156,655.659973,3723.850098,3603.800049,120.227272,2.544
20,2021-01-21,47675.76,54082.0,5660.27002,663.460022,3775.719971,3637.860107,119.681816,2.532
21,2021-01-22,46041.0,54082.0,5568.879883,660.150024,3758.0,3611.429932,118.863632,2.492
22,2021-01-23,45427.21,54082.0,5568.879883,660.150024,3758.0,3611.429932,118.863632,2.492
23,2021-01-24,45708.0,44649.0,5568.879883,660.150024,3758.0,3611.429932,118.863632,2.492
24,2021-01-25,47023.13,44649.0,5579.72998,666.940002,3755.620117,3614.719971,120.590912,2.542
25,2021-01-26,38713.6,45023.0,5473.25,656.580017,3684.919922,3551.209961,119.545456,2.603
26,2021-01-27,32516.06,46144.0,5517.529785,654.340027,3709.340088,3593.189941,123.181816,2.65
27,2021-01-28,46260.92,46644.0,5407.740234,639.549988,3597.51001,3519.110107,122.818184,2.675
28,2021-01-29,49176.0,29225.0,5421.529785,641.330017,3613.02002,3538.629883,122.454544,2.68
29,2021-01-30,49127.0,37333.0,5421.529785,641.330017,3613.02002,3538.629883,122.454544,2.68
30,2021-01-31,47761.0,44674.0,5421.529785,641.330017,3613.02002,3538.629883,122.454544,2.68
31,2021-02-01,49408.0,44492.0,5441.430176,642.659973,3652.290039,3492.860107,124.090912,2.73
32,2021-02-02,45225.0,43829.0,5510.620117,651.340027,3706.060059,3545.090088,124.090912,2.829
33,2021-02-03,32032.16,30045.0,5610.589844,658.219971,3796.939941,3599.76001,124.045456,2.827
34,2021-02-04,35848.39,31667.0,5568.390137,652.530029,3791.75,3604.620117,123.909088,2.776
35,2021-02-05,47434.44,36802.0,5638.740234,657.700012,3823.840088,3642.689941,123.818184,2.957
36,2021-02-06,47109.59,44410.0,5638.740234,657.700012,3823.840088,3642.689941,123.818184,2.957
37,2021-02-07,46511.99,45411.0,5638.740234,657.700012,3823.840088,3642.689941,123.818184,2.957
38,2021-02-08,35602.0,28654.0,5688.680176,657.72998,3844.080078,3665.77002,124.363632,2.909
39,2021-02-09,33969.0,36762.0,5703.529785,657.539978,3834.02002,3669.540039,124.090912,2.883
40,2021-02-10,45985.0,45951.0,5719.319824,660.5,3851.110107,3672.120117,125.454544,2.819
41,2021-02-11,45530.08,45951.0,5684.939941,659.880005,3809.560059,3654.340088,123.045456,2.975
42,2021-02-12,54808.42,44118.0,5651.669922,665.159973,3811.280029,3669.040039,122.181816,2.87
43,2021-02-13,51086.45,44118.0,5651.669922,665.159973,3811.280029,3669.040039,122.181816,2.87
44,2021-02-14,45673.06,44118.0,5651.669922,665.159973,3811.280029,3669.040039,122.181816,2.87
45,2021-02-15,45588.35,44118.0,5732.299805,680.429993,3846.300049,3711.350098,122.909088,2.87
46,2021-02-16,46912.5,44368.0,5796.430176,686.940002,3866.899902,3735.530029,122.13636,3.046
47,2021-02-17,48107.0,45117.0,5762.009766,686.549988,3855.159912,3720.26001,120.954544,3.098
48,2021-02-18,46383.0,41874.0,5757.75,681.440002,3837.540039,3700.98999,121.045456,3.267
49,2021-02-19,45047.98,41874.0,5737.189941,674.450012,3788.570068,3683.379883,121.318184,3.067
50,2021-02-20,44274.77,41874.0,5737.189941,674.450012,3788.570068,3683.379883,121.318184,3.067
51,2021-02-21,45000.0,43764.0,5737.189941,674.450012,3788.570068,3683.379883,121.318184,3.067
52,2021-02-22,45000.0,46040.0,5737.470215,672.159973,3819.060059,3706.070068,120.090912,3.01
53,2021-02-23,49025.0,47240.0,5781.240234,669.619995,3834.620117,3698.23999,119.363632,2.949
54,2021-02-24,49468.23,47463.0,5769.209961,662.429993,3817.629883,3684.669922,118.318184,2.866
55,2021-02-25,48505.85,47463.0,5824.720215,670.22998,3855.76001,3716.669922,117.681816,2.806
56,2021-02-26,47066.76,44760.0,5715.689941,651.210022,3785.110107,3665.889893,114.545456,2.77
57,2021-02-27,44763.02,44760.0,5715.689941,651.210022,3785.110107,3665.889893,114.545456,2.77
58,2021-02-28,45018.81,44760.0,5715.689941,651.210022,3785.110107,3665.889893,114.545456,2.77
59,2021-03-01,40806.97,43879.0,5770.890137,662.02002,3806.310059,3658.120117,114.318184,2.8
60,2021-03-02,43818.91,42070.0,5774.620117,662.359985,3805.919922,3702.800049,115.818184,2.783
61,2021-03-03,45328.46,44496.0,5841.200195,667.599976,3836.139893,3711.389893,115.954544,2.848
62,2021-03-04,41727.25,40442.0,5800.72998,656.880005,3791.0,3702.370117,114.545456,2.803
63,2021-03-05,47297.91,40442.0,5794.47998,650.849976,3768.320068,3689.409912,115.818184,2.743
64,2021-03-06,22182.01,25306.0,5794.47998,650.849976,3768.320068,3689.409912,115.818184,2.743
65,2021-03-07,17237.0,17431.0,5794.47998,650.849976,3768.320068,3689.409912,115.818184,2.743
66,2021-03-08,14882.45,15931.0,5822.919922,657.960022,3794.590088,3679.350098,116.090912,2.691
67,2021-03-09,13911.96,15389.0,5903.259766,665.289978,3856.810059,3759.26001,119.045456,2.662
68,2021-03-10,14769.76,12914.0,5915.169922,675.299988,3858.48999,3780.26001,119.13636,2.653
69,2021-03-11,20781.08,12914.0,6004.160156,682.530029,3865.790039,3827.179932,122.181816,2.689
70,2021-03-12,15885.0,12109.0,6030.629883,679.799988,3846.969971,3840.72998,121.318184,2.669
71,2021-03-13,13096.0,5937.0,6030.629883,679.799988,3846.969971,3840.72998,121.318184,2.669
